197816;196939;197097;197889;199058;198636;198239;198397;198283;198320;198748;197284;199173;198130;198206;197706;198248;199550;197354;198533;197134;200489;201913;198255;197333;197035;197112;199533;198907;196985;197503;198614;199698;199481;199262;204457;197447;197753;197388;198176;198944;200115;196252;198654;199486;197952;196955;198696;199475;197793;
496325;496108;493611;494596;494781;498646;491811;493791;493847;497306;496411;491717;506217;496306;498005;496617;498380;497504;497729;499220;493674;493475;497207;494893;492574;495131;492859;497158;493532;510293;493649;492443;494499;493507;494940;488946;494237;493150;491722;493036;491068;508111;495258;493055;495554;492822;493140;495113;499153;494302;
1098160;1094499;1080237;1080834;1084404;1083360;1079039;1080310;1096754;1088916;1091654;1085592;1085740;1091510;1092496;1080519;1091305;1083325;1079266;1080239;1082704;1088087;1083631;1086160;1081137;1074989;1074987;1069230;1102313;1082824;1083911;1071072;1081744;1082202;1077496;1085008;1082329;1083699;1080012;1076766;1082977;1075468;1077075;1081168;1090026;1078251;1082891;1084662;1081566;1089579;
2006032;2025757;2009208;2004160;2006031;2008548;2008612;2006039;2012142;2014956;2003443;1996866;1985073;2001213;1985633;1997036;1980592;1995714;2003528;1993186;1993301;1987550;1995684;1995045;1996010;1980812;2013104;2008852;2005228;1995883;1984848;1977192;2002307;1998532;2028369;2003507;1990156;1999938;2011298;2006907;1988430;1992329;2005252;1999668;1997524;1991978;1995299;1980286;2007628;2002885;
1008;955;1240;1232;1252;1277;1196;1164;1113;839;822;1253;1178;975;1077;902;1031;1090;1073;1137;1068;1045;969;1088;1244;1030;866;837;1019;1022;1144;872;898;894;897;1135;1008;885;941;831;866;1033;1004;938;965;978;798;961;1016;1001;
23191;23658;22783;22934;22777;23140;23186;22923;22396;23247;22682;22577;22893;22574;22839;23278;23144;23334;22624;23446;22696;24053;23424;22668;23464;23174;22723;23247;22671;22898;23601;23747;23078;22962;22566;22915;23041;28865;23387;23210;23173;22960;22764;22781;22745;22445;22857;22960;23124;22803;
124127;125424;125671;123796;123808;126003;124810;124692;124891;125273;124414;126119;125258;125256;125708;126076;123496;124706;124699;124900;128545;124930;124708;124482;125839;126011;124862;124611;123262;132325;124989;124758;125447;124257;125078;125027;123599;124030;123742;124693;124528;124411;124646;124502;124876;124914;123619;125009;124587;124801;
401597;400642;403086;403752;404349;404106;402934;403430;405926;401094;402152;405753;402962;403802;401624;405648;406666;405083;404085;401868;399748;405524;402003;403249;402179;405375;402830;402162;403064;402961;408546;404491;401451;408487;403819;405343;399637;403810;404716;403711;405046;403125;404889;403626;403031;403455;406423;401972;404944;407132;
1000022;998880;1004417;999920;992511;1007347;1005218;998743;1001332;989814;992151;995476;997840;1002149;996610;1000127;1002967;1000604;1002187;1000259;1002809;997907;1001620;994612;999394;1012551;995564;990093;1003442;997172;1000080;1002496;1003988;1017426;987312;1001589;996182;995954;994740;1002379;994436;993095;1003907;1000004;995037;997738;994983;996003;989407;994187;
2121638;2140293;2120225;2105550;2105953;2108642;1818142;1822323;1831458;1818300;1836072;1817252;1819831;1824107;1815829;1815497;1818588;1825298;1819126;1825076;1825338;1829158;1814913;1892909;1820311;1826931;1817284;1807885;1820112;1832315;1819323;1820080;1825966;1813927;1810763;1827596;1829789;1831979;1814229;1822454;1815967;1817873;1815036;1811671;1816930;1825854;1818184;1812792;1806675;1821769;
3434305;3447291;3480241;3463153;3449493;3430004;3447587;3424242;3442118;3439345;3435746;3467595;3446859;3439979;3466173;3458857;3476953;3449415;3461791;3466830;3471361;3450062;3460545;3453509;3459410;3470306;3460418;3488651;3446731;3527065;3452515;3461480;3446579;3463410;3449709;3455056;3472980;3450568;3482007;3476011;3464329;3444192;3450774;3461044;3452679;3443426;3457889;3476682;3468639;3476384;
